timestamp;cycle;product_id;product_index;current_price;previous_price;change_amount;change_percentage;change_status;significance;url
2026-01-11 19:38:38;1;f7c8e84536;7;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 20:20:52;1;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 20:20:55;1;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 20:20:59;1;acacce754f;3;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 20:21:06;1;df62733c67;5;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 20:21:11;1;9f3abdcd96;6;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 20:21:14;1;f7c8e84536;7;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 20:26:32;2;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 20:26:36;2;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 20:26:40;2;acacce754f;3;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 20:26:48;2;df62733c67;5;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 20:26:51;2;9f3abdcd96;6;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 20:26:54;2;f7c8e84536;7;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 20:30:34;1;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 20:30:39;1;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 20:30:42;1;acacce754f;3;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 20:30:49;1;df62733c67;5;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 20:30:53;1;9f3abdcd96;6;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 20:30:56;1;f7c8e84536;7;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 20:36:14;2;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 20:36:19;2;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 20:36:22;2;acacce754f;3;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 20:36:29;2;df62733c67;5;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 20:36:32;2;9f3abdcd96;6;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 20:36:36;2;f7c8e84536;7;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 20:41:51;3;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 20:41:56;3;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 20:41:58;3;acacce754f;3;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 20:42:07;3;df62733c67;5;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 20:42:10;3;9f3abdcd96;6;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 20:42:14;3;f7c8e84536;7;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 20:47:34;4;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 20:47:39;4;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 20:47:41;4;acacce754f;3;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 20:47:50;4;df62733c67;5;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 20:47:55;4;9f3abdcd96;6;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 20:47:58;4;f7c8e84536;7;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 20:53:15;5;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 20:53:18;5;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 20:53:20;5;acacce754f;3;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 20:53:30;5;df62733c67;5;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 20:53:32;5;9f3abdcd96;6;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 20:53:37;5;f7c8e84536;7;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 20:58:54;6;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 20:58:56;6;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 20:58:59;6;acacce754f;3;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 20:59:05;6;df62733c67;5;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 20:59:08;6;9f3abdcd96;6;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 20:59:11;6;f7c8e84536;7;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 21:11:07;1;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
